rno,level,lose,point,profileIconId,summonerName,tier,win
620,142,524,557,4379,Ifyouholdfist,GRANDMASTER,673
621,77,284,557,29,나뭇잎먹기,GRANDMASTER,334
622,465,174,557,4835,바멍찐,GRANDMASTER,310
623,95,362,555,4781,LastSunnnner,GRANDMASTER,426
624,125,306,554,4816,익스큐즈,GRANDMASTER,355
625,223,892,553,4654,Siafans,GRANDMASTER,929
626,89,277,553,4497,회광반조1,GRANDMASTER,332
627,152,869,552,4578,leveluppp,GRANDMASTER,913
628,285,466,551,2072,3xky,GRANDMASTER,475
629,294,1166,550,4655,LunaLina,GRANDMASTER,1195
630,495,865,549,3019,수고했다헤이스트,GRANDMASTER,911
631,188,382,548,4761,창작은괴로워,GRANDMASTER,432
632,236,401,548,4835,Daaaaaamuzi,GRANDMASTER,429
633,153,216,548,23,Ucal,GRANDMASTER,259
634,139,778,547,4782,운이나쁘다1,GRANDMASTER,835
635,99,447,547,4832,저를탓하지마세요,GRANDMASTER,533
636,422,496,547,4644,GenGRuler,GRANDMASTER,525
637,228,384,547,1142,StephanFelix2,GRANDMASTER,418
638,130,267,547,4707,Fredie,GRANDMASTER,415
639,143,353,547,4653,OSo1eMio,GRANDMASTER,396
640,547,955,544,4405,AweBBakPyo,GRANDMASTER,961
641,169,582,543,3379,HUYATVJin,GRANDMASTER,690
642,167,556,543,7,blitzkriegBop,GRANDMASTER,583
643,61,128,543,3542,nunu2000,GRANDMASTER,214
644,168,103,543,7,GenGBdd,GRANDMASTER,145
645,372,1062,542,3367,DRXBecca,GRANDMASTER,1039
646,133,681,542,3018,kuyami,GRANDMASTER,773
647,177,1148,541,4858,Thezjj,GRANDMASTER,1273
648,307,451,541,4027,귀여운현우,GRANDMASTER,500
649,448,1063,540,4693,빌었어1,GRANDMASTER,1100
650,170,107,540,4793,꽂임,GRANDMASTER,243
651,204,1147,539,4763,좀혁,GRANDMASTER,1176
652,128,696,538,1630,tiandaochouqin,GRANDMASTER,803
653,122,455,537,4787,YeQiuFeng,GRANDMASTER,554
654,123,132,537,3175,풍월량머독침착맨,GRANDMASTER,177
655,157,83,537,4652,16xyz,GRANDMASTER,123
656,214,557,536,4816,DRXConus,GRANDMASTER,590
657,222,942,535,4832,zl존다크각성모드,GRANDMASTER,940
658,148,793,535,4516,zhongmenduiju,GRANDMASTER,834
659,137,667,535,4779,GimmeThatMoney,GRANDMASTER,714
660,105,333,535,4784,지도를보지않다,GRANDMASTER,371
661,241,308,535,4100,레몬불구름,GRANDMASTER,344
662,119,190,535,4791,chodding3,GRANDMASTER,244
663,211,515,534,3889,75423568,GRANDMASTER,547
664,309,434,534,3902,zpxzpx,GRANDMASTER,467
665,159,304,534,4832,plzdosomething,GRANDMASTER,365
666,203,983,533,4832,아이슬란드로가다,GRANDMASTER,1035
667,136,637,533,4832,HUYATVOsu,GRANDMASTER,735
668,88,401,533,4764,청춘의막을내리,GRANDMASTER,494
669,133,314,532,10,FABud,GRANDMASTER,356
670,246,262,530,4631,HLEyoHan,GRANDMASTER,261
671,443,976,529,4416,엉민이에오,GRANDMASTER,1028
672,364,946,529,4353,Ar1a,GRANDMASTER,953
673,212,296,528,4568,FallGuy,GRANDMASTER,342
674,276,365,527,3158,Ktune,GRANDMASTER,408
675,410,305,527,4779,돌아온왕비,GRANDMASTER,322
676,466,1302,526,4762,크라다스,GRANDMASTER,1343
677,105,383,526,4492,잘모르겠어용,GRANDMASTER,469
678,52,99,524,939,Drku,GRANDMASTER,192
679,116,607,523,1297,happygame000,GRANDMASTER,694
680,282,381,523,4353,정글여,GRANDMASTER,431
681,80,339,523,4755,Erikuro22,GRANDMASTER,429
682,94,309,523,4765,Rise,GRANDMASTER,398
683,285,294,523,4779,어쩌라고핑찍지마,GRANDMASTER,329
684,62,145,523,4786,쏘대장바나나차차,GRANDMASTER,240
685,399,1167,522,4780,엔터키를빼고게임,GRANDMASTER,1190
686,204,1084,522,4832,wumingzhizu,GRANDMASTER,1104
687,392,660,522,20,XXXTENTACION,GRANDMASTER,662
688,526,468,522,1625,테디봇1호,GRANDMASTER,504
689,267,382,522,4834,PluTo777,GRANDMASTER,403
690,130,744,521,4568,suzack,GRANDMASTER,843
691,185,657,521,4781,짱돌이즈,GRANDMASTER,704
692,144,530,521,4661,췌장을먹고시퍼,GRANDMASTER,630
693,54,122,521,7,98kgame70,GRANDMASTER,200
694,287,596,519,4653,Dlvvlgold,GRANDMASTER,633
695,222,355,519,4568,kkkkk11,GRANDMASTER,392
696,252,248,519,22,도전자도전하는자,GRANDMASTER,281
697,173,656,518,4661,laizishenyuan,GRANDMASTER,706
698,166,542,518,4817,못할때도있지,GRANDMASTER,648
699,110,266,518,4690,만렙케넨,GRANDMASTER,311
700,142,95,518,6,진순민초부먹,GRANDMASTER,171
701,56,157,517,4786,asdfghjklznqwe,GRANDMASTER,192
702,149,890,516,4793,Aibbly,GRANDMASTER,964
703,90,403,516,3460,bangwoxia,GRANDMASTER,496
704,183,368,516,7,뀨자룡,GRANDMASTER,396
705,440,1003,515,20,HUYATVSPARKLE,GRANDMASTER,1038
706,124,635,515,4833,1kong,GRANDMASTER,722
707,119,589,515,4832,T08T08,GRANDMASTER,655
708,297,1083,514,4640,서도일2,GRANDMASTER,1123
709,150,897,514,4756,ovooovo00,GRANDMASTER,918
710,185,616,513,4562,최이준민,GRANDMASTER,696
711,210,740,512,0,충주갱수,GRANDMASTER,788
712,378,673,512,6,Hideonbush,GRANDMASTER,700
713,103,484,512,29,UECA2,GRANDMASTER,528
714,386,1114,511,4,XNickHoo,GRANDMASTER,1150
715,114,487,511,4779,boomIigei,GRANDMASTER,529
716,84,403,511,4779,boomligei,GRANDMASTER,445
717,155,249,511,4787,midkinggyu,GRANDMASTER,320
718,102,257,511,23,ZAQLO1,GRANDMASTER,313
719,137,789,510,4069,IGzhao1749193239,GRANDMASTER,884
720,135,649,510,4552,4AMMaybe,GRANDMASTER,750
721,318,493,510,4841,AFMapSSi,GRANDMASTER,527
722,288,769,509,4213,noobpickgoff,GRANDMASTER,759
