rno,level,lose,name,point,profileIconId,tier,win,summonerName
405,88,293,NULL,724,4661,GRANDMASTER,437,weinixieshi
406,451,899,NULL,722,4835,GRANDMASTER,931,By불비
407,97,383,NULL,720,4763,GRANDMASTER,410,AweSerenity
408,136,680,NULL,718,750,GRANDMASTER,785,110011001100
409,119,600,NULL,716,977,GRANDMASTER,666,daydayup
410,108,536,NULL,716,4832,GRANDMASTER,583,ignugur1
411,263,319,NULL,714,4018,GRANDMASTER,357,xxxssx
412,124,548,NULL,713,3788,GRANDMASTER,656,fengche
413,138,619,NULL,712,4784,GRANDMASTER,763,DWGrevelation
414,67,152,NULL,712,3804,GRANDMASTER,215,Witch
415,356,505,NULL,711,4025,GRANDMASTER,528,FAMla
416,383,183,NULL,710,4762,GRANDMASTER,245,HUYATVRamca
417,220,960,NULL,709,7,GRANDMASTER,987,분열하다
418,451,889,NULL,709,4756,GRANDMASTER,871,ThallahT
419,292,249,NULL,709,3584,GRANDMASTER,296,vvi2
420,161,897,NULL,708,4279,GRANDMASTER,978,이기다wzxy
421,120,665,NULL,708,4786,GRANDMASTER,753,개미이가검다
422,273,422,NULL,708,1387,GRANDMASTER,472,KTBSUP
423,193,388,NULL,708,4707,GRANDMASTER,424,baddddd
